ime,visina,obrat
Snežnik,1796 m,1%
Mali Snežnik,1694 m,19%
Mali Golak,1495 m,4%
Srednji Golak,1480 m,24%
Mrzovec,1410 m,22%
Veliki Modrasovec,1353 m,15%
Bukov Vrh (Trnovski gozd),1314 m,40%
Suhi vrh (Nanos),1313 m,4%
Mali Modrasovec,1305 m,34%
Poldanovec,1299 m,16%
Goteniški Snežnik,1289 m,28%
Srednja gora (Hrušica),1275 m,43%
Veliki Javornik (Javorniki),1268 m,10%
Streliški vrh (Hrušica),1266 m,38%
Iztokova koča pod Golaki,1260 m,12%
Turn,1254 m,41%
Kuk (Kolovrat),1243 m,16%
Dom na Sviščakih,1242 m,30%
Koča Antona Bavčerja na Čavnu,1242 m,7%
Javornik nad Črnim Vrhom,1240 m,7%
Vojkova koča na Nanosu,1240 m,1%
Veliki Rob,1237 m,16%
Kucelj na Čavnu,1237 m,8%
Rezinski vrh,1231 m,53%
Sveti Duh (Hrušica),1221 m,47%
Mali Javornik (Javorniki),1219 m,39%
Petelinjek,1212 m,46%
Grmada (Nanos),1209 m,12%
Velika Jazbina,1201 m,54%
Nagnoj,1193 m,45%
Cerk,1192 m,50%
Stanov rob,1191 m,38%
Čaven,1185 m,5%
Škol,1182 m,31%
Križna gora (Hrušica),1162 m,37%
Pirnatova koča na Javorniku,1156 m,11%
Velika ledena jama v Paradani,1140 m,42%
Racna gora,1140 m,29%
Trinški vrh,1138 m,55%
Špičasti vrh,1128 m,24%
Bela stena,1122 m,46%
Krokar,1122 m,38%
Na gradu,1115 m,50%
Slivnica,1114 m,3%
Krim,1107 m,1%
Čelkov vrh,1106 m,35%
Sveta Trojica,1106 m,9%
Velika Milanja,1099 m,49%
Kršičevec,1091 m,27%
Baba (pri Javornikih),1085 m,77%
Razsušica,1083 m,51%
Kameni zid,1081 m,54%
Medvižica,1081 m,49%
Dom na Slivnici,1078 m,14%
Črni vrh (pri Lokvah),1072 m,94%
Lašček,1071 m,33%
Bivak Zanuso na Kolovratu,1065 m,56%
Mokrc,1059 m,36%
Ostrič,1056 m,31%
Mala gora,1034 m,16%
Bele ovce,1029 m,45%
Slavnik,1028 m,1%
Vremščica,1027 m,2%
Sveti Hieronim,1020 m,32%
Gora (Sveti Lovrenc),1019 m,14%
Koča na Kamnem griču,1016 m,39%
Firstov rep,1002 m,77%
Sinji vrh,1002 m,6%
Županov vrh,999 m,34%
Novaška gora,998 m,53%
Grmada pri Slavniku,998 m,32%
Koča na Kozleku,997 m,30%
Špiček (Špečk),986 m,46%
Lovsko zavetišče pod Čavnom,980 m,50%
Volovja reber,975 m,42%
Sveti Bric (Nanos),965 m,45%
Rotovc,964 m,39%
Mišnice,961 m,81%
Kovk,961 m,26%
Križna gora nad Colom,957 m,43%
Velika Špička,955 m,27%
Mala Plešivica,953 m,50%
Ježa,949 m,54%
Milanka,948 m,61%
Leskovica (nad Stražiščem),947 m,90%
Krempa,944 m,51%
Krimšček,940 m,47%
Petričev hrib,937 m,40%
Deveti konfin,930 m,54%
Kopitnik,929 m,45%
Srednji vrh pri Kozleku,923 m,54%
Dolski maj,912 m,56%
Velika Plešivica,908 m,47%
Lovska koča Urška,908 m,60%
Očna,906 m,58%
Dom na Travni Gori,906 m,40%
Furlanovo zavetišče pri Abramu,900 m,12%
Kraguljc,897 m,82%
Bezgarska planina,895 m,85%
Marutnik,892 m,85%
Golič,890 m,29%
Gozdarska koča Pri logarnici,889 m,59%
Nadglavinjak,888 m,64%
Sekulak,888 m,41%
Vrh Svetih Treh Kraljev,884 m,20%
Kavčič,879 m,47%
Lovska koča na Planinski gori,879 m,36%
Loška stena,875 m,76%
Grmada (Planinska gora),873 m,30%
Sončnica (Reber),867 m,81%
Vrh Skopice,863 m,59%
Bele stene,863 m,49%
Križna gora,857 m,13%
Navrše,857 m,43%
Sveta Marija Magdalena (Gore),851 m,85%
Belovka,848 m,59%
Otliški maj,847 m,43%
Sveti Vid (Vidovska planota),846 m,55%
Pravi vrh,830 m,89%
Bivak Črna peč,830 m,49%
Podrta gora nad Ajdovščino,827 m,76%
Kurešček,826 m,10%
Koča na Vrhu Svetih Treh Kraljev,823 m,29%
Polšakova koča na Zagori,822 m,55%
Osojnica,820 m,32%
Ljubljanski vrh,819 m,35%
Lovska koča Trešnja ravan,818 m,81%
Sveti Socerb (Artviže),817 m,27%
Goli vrh (Cemarovnik),816 m,56%
Medvedje Brdo,814 m,25%
Korada,812 m,10%
Globočak,809 m,53%
Mali Trebelnik,807 m,61%
Sveti Lenart (Krvava Peč),805 m,39%
Ajdovščina,804 m,76%
Lipnik,804 m,33%
Zavetišče na Koradi,803 m,33%
Kojnik,802 m,22%
Ulovka,801 m,21%
Otliško okno,800 m,11%
Slap Kotel,799 m,51%
Ahac,799 m,52%
Gradiška Tura,793 m,5%
Gradišče (Čepan),791 m,62%
Rakitna,789 m,21%
Sveta Marija na Planinski gori,782 m,28%
Vrh,777 m,64%
Lovska koča Vojkovo,775 m,45%
Trenk,769 m,85%
Ortneški Stari grad,765 m,53%
Pečna reber,763 m,38%
Planinski dom na Kureščku,760 m,39%
Sveti Primož in Felicijan (Osredek),751 m,56%
Šilentabor,751 m,39%
Bloško jezero,748 m,19%
Veliko Gradišče,742 m,45%
Dom na Goropekah,742 m,37%
Planinski dom pod Ježo,740 m,57%
Sveti Gregor na Slemenih,737 m,54%
Hrpeljska gora,737 m,47%
