ime,gorovje,visina,geografska_sirina,geografska_dolzina,vrsta,st_ogledov,priljubljenost,mesto,st_poti,st_gsp_sledi,opis

Snežnik,"Goriško, Notranjsko in Snežniško hribovje", 1796,"45,5885°N","14,4476°E"," vrh, koča", 692777, 99% ,16. mesto,11,1,"Snežnik oz. Veliki Snežnik je z višino 1796 m najvišji vrh v bližnji in daljni okolici, zato je z njega lep razgled po večjem delu Slovenije in bližnje sosednje Hrvaške. Ob lepem vremenu tako vidimo najvišje vrhove Gorskega Kotarja in Istre, kjer izstopajo Risnjak, Snježnik in Učka. Na slovensko stran pa prek prostranih gozdov Notranjske vidimo tudi najvišje vrhove Julijskih Alp, Kamniško Savinjskih Alp in Karavank. <br> Le nekaj metrov pod vrhom pa se nahaja tudi zavetišče Draga Karolina na Velikem Snežniku. "

Mali Snežnik,"Goriško, Notranjsko in Snežniško hribovje", 1694,"45,5898°N","14,4359°E", vrh, 424037, 81% ,518. mesto,3,0,"Mali Snežnik je vrh na zahodnem grebenu Snežnika. Vrh, ki je poraščen z rušjem ima lep razgled na sosednji Veliki Snežnik in okoliško hribovje."

Mali Golak,"Goriško, Notranjsko in Snežniško hribovje", 1495,"45,9785°N","13,8644°E", vrh, 571759, 96% ,95. mesto,5,1,"Mali Golak je najvišji od Golakov. Imena ni dobil zato, ker naj bi bil najmanjši ampak, ker je imel najmanjšo planino. Na zemljevidih je prišlo do napake in namesto Malega Golaka piše Veliki Golak. Sicer pa je z vrha lep razgled na vso Slovenijo. Lepo se vidi Triglav in velik del Julijskih Alp. Tudi Karavanke in Kamniške Alpe se vidijo. Pod nami pa Primorska s svojim morjem. Vrh ima vpisno knjigo in žig."

Srednji Golak,"Goriško, Notranjsko in Snežniško hribovje", 1480,"45,97448°N","13,87294°E", vrh, 393836, 77% ,631. mesto,3,0,"Srednji Golak se nahaja med Malim in Velikim Golakom na planoti Trnovskega gozda nad Predmejo. Vrh je poraščen z rušjem, razgled pa seže od morja čez Trnovsko planoto proti osrednji Sloveniji a ga nekoliko ovirajo redka drevesa."

Mrzovec,"Goriško, Notranjsko in Snežniško hribovje", 1410,"45,97825°N","13,80575°E", vrh, 406062, 78% ,586. mesto,5,0,"Mrzovec je najizrazitejši vrh v osrčju Trnovske planote. Njegova lega omogoča čudovit razgled, vendar ga z vrha zastira visoko drevje. Na vrhu je zgrajen kamnit stolp (trigonometrična točka), a je visok le dobrih pet metrov. Ker pa iz nje nimamo širšega razgleda si lahko podoben razgled mozaično zagotovimo tudi z roba planotastega vrha, saj je na več krajih vegetacija deloma pretrgana. Kot na dlani imamo okoli sebe celoten Trnovski gozd, predvsem vasi Lokve in Nemci. Ob jasnem vremenu je lep razgled tudi širši, do Jadranskega morja na jugu, Julijskih Alp na severu, na zahodni strani se rišeta Sabotin in Banjšice, na vzhodu pa notranjost Slovenije."

Veliki Modrasovec,"Goriško, Notranjsko in Snežniško hribovje", 1353,"45,93638°N","13,85005°E", vrh, 454237, 85% ,401. mesto,7,0,Veliki Modrasovec se nahaja na južnem delu Trnovskega gozda v bližini Predmeje. Na vrhu stoji stara vojaška zgradba na katero se moramo povzpeti za lepši razgled. Lepo se vidijo bližnji Golaki in zadaj nad njim del Kamniških Alp. Levo od Golakov pa se lepo vidijo Julijske Alpe kjer najbolj izstopata Triglav in nekoliko bližji Krn. Na primorsko stran razgled ovira gozd.

Bukov Vrh (Trnovski gozd),"Goriško, Notranjsko in Snežniško hribovje", 1314,"45,99013°N","13,88505°E", vrh, 281742, 61% ,1060. mesto,0,0,"Bukov vrh je 1314 m visok vrh, ki se nahaja na severnem robu Trnovskega gozda. Večinoma gozdnat vrh, ki je porasel z bukouvjem, se proti severu strmo spušča proti dolini Trebuščice, proti jugu pa se nadaljuje v planoto Trnovskega gozda. Skozi krošnje dreves, se nam odpre nekaj razgleda proti Golakom in Škofjeloškemu in Cerkljanskemu hribovju, sicer pa je vrh, ki je ob ugodnih snežnih razmerah lep turnosmučarski cilj, tudi rezervat pragozda."

Suhi vrh (Nanos),"Goriško, Notranjsko in Snežniško hribovje", 1313,"45,79828°N","14,0671°E", vrh, 569467, 96% ,101. mesto,10,0,"Suhi vrh je s 1313m najvišji vrh kraške planote Nanos. Z vrha, ki ima vpisno skrinjico ter žig (žig je trenutno neuporaben 14.3.2009) je lep razgled proti Postojnski kotlini in hribovju, ki le to obdaja. Ob lepem vremenu razgled seže vse od Julijskih Alp prek Karavank do Kamniško Savinjskih Alp in Snežnika."

Mali Modrasovec,"Goriško, Notranjsko in Snežniško hribovje", 1305,"45,93035°N","13,85385°E", vrh, 320834, 67% ,907. mesto,3,0,"Mali Modrasovec je vrh severno od doma na Čavnu v Trnovskem gozdu. Na vrhu, ki je obdan z gozdom stoji manjša hiška in zraven nje kontrolni stolp. Zaradi gozda ni razgleda."

